CustomerID,Contract,Internet Service,City_Charge_Ratio,Monthly Charges,Churn_Probability,Retention_Action_Plan
7493-TPUWZ,Month-to-month,Fiber optic,0.014298,79.15,0.898348,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7206-GZCDC,Month-to-month,Fiber optic,0.01288,69.25,0.898255,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7409-KIUTL,Month-to-month,Fiber optic,0.012744,71.0,0.898255,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8051-HJRLT,Month-to-month,Fiber optic,0.010959,70.55,0.898255,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1846-XWOQN,Month-to-month,Fiber optic,0.008213,70.15,0.898255,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2636-ALXXZ,Month-to-month,Fiber optic,0.00805,69.6,0.898255,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0723-DRCLG,Month-to-month,Fiber optic,0.012384,74.45,0.898151,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1455-UGQVH,Month-to-month,Fiber optic,0.010311,98.5,0.897722,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0196-VULGZ,Month-to-month,Fiber optic,0.006888,84.35,0.897668,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0259-GBZSH,Month-to-month,Fiber optic,0.009772,85.65,0.897345,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2004-OCQXK,Month-to-month,Fiber optic,0.015142,81.95,0.897336,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0495-RVCBF,Month-to-month,Fiber optic,0.010216,79.7,0.897336,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2202-CUYXZ,Month-to-month,Fiber optic,0.004749,84.85,0.896919,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8058-INTPH,Month-to-month,Fiber optic,0.008994,79.65,0.896802,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1853-UDXBW,Month-to-month,Fiber optic,0.010667,70.0,0.896646,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3422-LYEPQ,Month-to-month,Fiber optic,0.00879,71.0,0.896646,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4952-YSOGZ,Month-to-month,Fiber optic,0.012877,85.95,0.896378,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4806-HIPDW,Month-to-month,Fiber optic,0.009491,68.95,0.896288,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3727-RJMEO,Month-to-month,Fiber optic,0.010014,82.85,0.896278,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6474-FVJLC,Month-to-month,Fiber optic,0.009428,86.0,0.896204,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6996-KNSML,Month-to-month,Fiber optic,0.008812,74.9,0.896084,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5383-MMTWC,Month-to-month,Fiber optic,0.007485,84.0,0.895943,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8380-PEFPE,Month-to-month,Fiber optic,0.008178,71.65,0.89557,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4603-JANFB,Month-to-month,Fiber optic,0.011802,69.85,0.89557,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5542-TBBWB,Month-to-month,Fiber optic,0.011745,69.9,0.89557,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6023-YEBUP,Month-to-month,Fiber optic,0.017817,100.95,0.895242,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0488-GSLFR,Month-to-month,Fiber optic,0.015172,69.5,0.895208,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0328-GRPMV,Month-to-month,Fiber optic,0.010972,70.1,0.895208,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4702-IOQDC,Month-to-month,Fiber optic,0.012792,70.1,0.895208,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7665-TOALD,Month-to-month,Fiber optic,0.012722,69.6,0.895208,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9728-FTTVZ,Month-to-month,Fiber optic,0.00873,69.2,0.895208,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1031-IIDEO,Month-to-month,Fiber optic,0.008898,70.85,0.895208,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5240-IJOQT,Month-to-month,Fiber optic,0.00913,74.7,0.89518,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9681-OXGVC,Month-to-month,Fiber optic,0.028412,100.5,0.895162,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2656-TABEH,Month-to-month,Fiber optic,0.010533,100.2,0.89492,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3494-JCHRQ,Month-to-month,Fiber optic,0.011266,70.05,0.894919,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9787-XVQIU,Month-to-month,Fiber optic,0.017825,75.3,0.894887,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0637-KVDLV,Month-to-month,Fiber optic,0.007845,76.5,0.894561,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6108-OQZDQ,Month-to-month,Fiber optic,0.007153,97.95,0.894502,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6230-BSUXY,Month-to-month,Fiber optic,0.013555,85.0,0.894368,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5150-ITWWB,Month-to-month,Fiber optic,0.016192,94.85,0.894175,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8372-JUXUI,Month-to-month,Fiber optic,0.016467,74.35,0.89404,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9957-YODKZ,Month-to-month,Fiber optic,0.021082,80.8,0.893065,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2545-EBUPK,Month-to-month,Fiber optic,0.007469,84.05,0.892957,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0742-NXBGR,Month-to-month,Fiber optic,0.021426,82.3,0.892676,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4587-VVTOX,Month-to-month,Fiber optic,0.018224,105.3,0.892259,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8098-LLAZX,Month-to-month,Fiber optic,0.022695,95.45,0.891537,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7943-RQCHR,Month-to-month,Fiber optic,0.015291,94.75,0.891521,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9248-OJYKK,Month-to-month,Fiber optic,0.017402,76.45,0.89093,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5539-TMZLF,Month-to-month,Fiber optic,0.010148,69.75,0.890317,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9488-HGMJH,Month-to-month,Fiber optic,0.005238,71.15,0.889198,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7274-RTAPZ,Month-to-month,Fiber optic,0.015173,90.55,0.889139,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7249-WBIYX,Month-to-month,Fiber optic,0.011896,85.6,0.888879,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8000-REIQB,Month-to-month,Fiber optic,0.007388,69.95,0.888315,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7180-PISOG,Month-to-month,Fiber optic,0.009455,74.5,0.888025,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6496-SLWHQ,Month-to-month,Fiber optic,0.005841,105.0,0.888013,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6630-UJZMY,Month-to-month,Fiber optic,0.004757,83.25,0.888003,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9965-YOKZB,Month-to-month,Fiber optic,0.010936,83.85,0.887689,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2012-NWRPA,Month-to-month,Fiber optic,0.013755,99.55,0.887639,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4614-NUVZD,Month-to-month,Fiber optic,0.007015,81.1,0.887239,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4871-JTKJF,Month-to-month,Fiber optic,0.013576,69.65,0.887198,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6502-MJQAE,Month-to-month,Fiber optic,0.008948,69.6,0.887062,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3428-XZMAZ,Month-to-month,Fiber optic,0.008734,69.35,0.887062,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7254-IQWOZ,Month-to-month,Fiber optic,0.011531,69.65,0.887062,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6457-GIRWB,Month-to-month,Fiber optic,0.007926,69.35,0.887062,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4510-HIMLV,Month-to-month,Fiber optic,0.008034,69.8,0.887062,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8062-YBDOE,Month-to-month,Fiber optic,0.007245,69.65,0.887014,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1157-BQCUW,Month-to-month,Fiber optic,0.011788,74.95,0.88687,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6358-LYNGM,Month-to-month,Fiber optic,0.013319,74.9,0.88687,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1452-VOQCH,Month-to-month,Fiber optic,0.015318,75.1,0.88687,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9804-ICWBG,Month-to-month,Fiber optic,0.004421,69.9,0.886838,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5550-VFRLC,Month-to-month,Fiber optic,0.005677,69.85,0.886776,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2462-XIIJB,Month-to-month,Fiber optic,0.026779,92.5,0.886542,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1273-MTETI,Month-to-month,Fiber optic,0.008715,88.85,0.886505,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0754-UKWQP,Month-to-month,Fiber optic,0.008621,95.85,0.886043,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4912-PIGUY,Month-to-month,Fiber optic,0.010998,84.6,0.886014,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2865-TCHJW,Month-to-month,Fiber optic,0.007715,89.2,0.886005,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4750-ZRXIU,Month-to-month,Fiber optic,0.006586,84.6,0.885797,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7488-MXJIV,Month-to-month,Fiber optic,0.01599,85.65,0.885546,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7779-LGOVN,Month-to-month,Fiber optic,0.020251,86.65,0.88507,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4988-IQIGL,Month-to-month,Fiber optic,0.010046,75.35,0.884728,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4626-GYCZP,Month-to-month,Fiber optic,0.015673,93.85,0.884722,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2660-EMUBI,Month-to-month,Fiber optic,0.015685,95.35,0.884722,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0564-JJHGS,Month-to-month,Fiber optic,0.013352,95.5,0.884722,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8972-HJWNV,Month-to-month,Fiber optic,0.019326,84.55,0.884685,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5834-ASPWA,Month-to-month,Fiber optic,0.005975,75.45,0.883631,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3198-VELRD,Month-to-month,Fiber optic,0.006958,84.75,0.883291,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8258-GSTJK,Month-to-month,Fiber optic,0.007649,77.0,0.883051,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0021-IKXGC,Month-to-month,Fiber optic,0.007194,72.1,0.882638,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5835-BEQEU,Month-to-month,Fiber optic,0.013812,76.95,0.882258,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6892-EZDTG,Month-to-month,Fiber optic,0.015729,91.65,0.88203,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7577-SWIFR,Month-to-month,Fiber optic,0.012008,89.25,0.881756,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1400-MMYXY,Month-to-month,Fiber optic,0.014254,105.9,0.881654,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8382-SHQEH,Month-to-month,Fiber optic,0.007111,84.9,0.881493,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6567-HOOPW,Month-to-month,Fiber optic,0.006806,79.2,0.88086,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3006-XIMLN,Month-to-month,Fiber optic,0.015223,94.2,0.880595,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4951-UKAAQ,Month-to-month,Fiber optic,0.014468,88.95,0.880295,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2506-TNFCO,Month-to-month,Fiber optic,0.008753,69.55,0.880119,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4795-KTRTH,Month-to-month,Fiber optic,0.009242,81.0,0.880113,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8816-VXNZD,Month-to-month,Fiber optic,0.006699,75.1,0.880048,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8644-XLFBW,Month-to-month,Fiber optic,0.00703,71.65,0.879838,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0781-LKXBR,Month-to-month,Fiber optic,0.019957,100.5,0.879726,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0897-FEGMU,Month-to-month,Fiber optic,0.011537,99.5,0.879523,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0195-IESCP,Month-to-month,Fiber optic,0.015916,85.25,0.879396,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8775-LHDJH,Month-to-month,Fiber optic,0.007633,90.6,0.879097,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8337-UPOAQ,Month-to-month,Fiber optic,0.01395,89.8,0.879096,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2982-VPSGI,Month-to-month,Fiber optic,0.00887,94.0,0.878752,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7817-BOQPW,Month-to-month,Fiber optic,0.021096,75.55,0.87835,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8161-QYMTT,Month-to-month,Fiber optic,0.013851,94.1,0.878188,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4548-SDBKE,Month-to-month,Fiber optic,0.009814,85.2,0.878028,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6979-ZNSFF,Month-to-month,Fiber optic,0.011463,87.05,0.877992,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1820-TQVEV,Month-to-month,Fiber optic,0.013381,69.55,0.877752,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6688-UZPWD,Month-to-month,Fiber optic,0.017078,102.0,0.877675,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1618-CFHME,Month-to-month,Fiber optic,0.010411,75.9,0.877672,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2968-SSGAA,Month-to-month,Fiber optic,0.007226,100.6,0.877671,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8473-VUVJN,Month-to-month,Fiber optic,0.010367,73.65,0.877644,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9451-LPGOO,Month-to-month,Fiber optic,0.018156,86.8,0.877591,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2205-YMZZJ,Month-to-month,Fiber optic,0.01526,84.8,0.877351,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6653-CBBOM,Month-to-month,Fiber optic,0.011566,70.3,0.877173,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7508-MYBOG,Month-to-month,Fiber optic,0.010799,86.1,0.876833,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5196-SGOAK,Month-to-month,Fiber optic,0.014576,75.7,0.876789,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0702-PGIBZ,Month-to-month,Fiber optic,0.01274,101.7,0.876645,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8593-WHYHV,Month-to-month,Fiber optic,0.014283,85.3,0.876498,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4529-CKBCL,Month-to-month,Fiber optic,0.010927,80.2,0.876383,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1981-INRFU,Month-to-month,Fiber optic,0.012287,79.75,0.876383,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9061-TIHDA,Month-to-month,Fiber optic,0.009115,95.25,0.876149,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3793-MMFUH,Month-to-month,Fiber optic,0.009868,95.05,0.876095,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8808-ELEHO,Month-to-month,Fiber optic,0.010063,81.25,0.875934,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9603-OAIHC,Month-to-month,Fiber optic,0.007017,70.05,0.875861,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1925-TIBLE,Month-to-month,Fiber optic,0.006084,86.5,0.875388,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1447-GIQMR,Month-to-month,Fiber optic,0.012257,69.15,0.875185,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1579-KLYDT,Month-to-month,Fiber optic,0.014293,90.45,0.874863,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4822-RVYBB,Month-to-month,Fiber optic,0.024082,100.6,0.874362,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3902-FOIGH,Month-to-month,Fiber optic,0.027648,101.35,0.874226,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7465-ZZRVX,Month-to-month,Fiber optic,0.01047,70.35,0.874064,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3621-CEOVK,Month-to-month,Fiber optic,0.019693,100.2,0.873801,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3878-AVSOQ,Month-to-month,Fiber optic,0.005807,71.25,0.87375,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5376-DEQCP,Month-to-month,Fiber optic,0.013695,70.6,0.873638,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2642-DTVCO,Month-to-month,Fiber optic,0.014057,85.05,0.873525,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7660-HDPJV,Month-to-month,Fiber optic,0.009845,69.2,0.873491,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2034-GDRCN,Month-to-month,Fiber optic,0.008573,90.4,0.873283,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7120-RFMVS,Month-to-month,Fiber optic,0.013541,84.5,0.873209,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4274-OWWYO,Month-to-month,Fiber optic,0.009902,74.35,0.873194,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8931-GJJIQ,Month-to-month,Fiber optic,0.005077,83.3,0.872769,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1569-TTNYJ,Month-to-month,Fiber optic,0.008502,78.75,0.872655,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4234-XTNEA,Month-to-month,Fiber optic,0.007075,79.95,0.872504,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0334-GDDSO,Month-to-month,Fiber optic,0.022441,81.35,0.871918,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0697-ZMSWS,Month-to-month,Fiber optic,0.017404,85.65,0.871614,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2215-ZAFGX,Month-to-month,Fiber optic,0.011045,85.5,0.871565,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
